Date,Price,Signal
2015-01-28,0.1408,1.0
2015-01-29,0.1417,1.0
2015-01-30,0.1413,1.0
2015-02-02,0.1417,1.0
2015-02-03,0.1409,1.0
2015-02-04,0.1393,1.0
2015-02-05,0.1411,-1.0
2015-02-06,0.1394,-1.0
2015-02-09,0.1415,-1.0
2015-02-10,0.1413,-1.0
2015-02-11,0.1416,-1.0
2015-02-12,0.1413,-1.0
2015-02-13,0.1404,1.0
2015-02-16,0.1408,1.0
2015-02-17,0.1409,1.0
2015-02-18,0.14004,1.0
2015-02-19,0.14016,1.0
2015-02-20,0.14062,1.0
2015-02-23,0.1404,1.0
2015-02-24,0.14094,0.0
2015-02-25,0.14094,-1.0
2015-02-26,0.14056,-1.0
2015-02-27,0.14266,-1.0
2015-03-02,0.14268,-1.0
2015-03-03,0.14252,-1.0
2015-03-04,0.14253,-1.0
2015-03-05,0.14387,-1.0
2015-03-06,0.1446,-1.0
2015-03-09,0.14713,-1.0
2015-03-10,0.14714,1.0
2015-03-11,0.14933,1.0
2015-03-12,0.1514,1.0
2015-03-13,0.15029,1.0
2015-03-16,0.15206,1.0
2015-03-17,0.15103,1.0
2015-03-18,0.15107,-1.0
2015-03-19,0.14819,-1.0
2015-03-20,0.15123,-1.0
2015-03-23,0.14899,-1.0
2015-03-24,0.14678,-1.0
2015-03-25,0.14765,-1.0
2015-03-26,0.14668,1.0
2015-03-27,0.14803,1.0
2015-03-30,0.1476,1.0
2015-03-31,0.14873,1.0
2015-04-01,0.15015,1.0
2015-04-02,0.14975,1.0
2015-04-03,0.14831,1.0
2015-04-06,0.14857,-1.0
2015-04-07,0.14763,-1.0
2015-04-08,0.14907,-1.0
2015-04-09,0.14945,-1.0
2015-04-10,0.15104,-1.0
2015-04-13,0.15189,-1.0
2015-04-14,0.15213,-1.0
2015-04-15,0.15104,0.0
2015-04-16,0.15091,-1.0
2015-04-17,0.14997,-1.0
2015-04-20,0.14926,-1.0
2015-04-21,0.15012,-1.0
2015-04-22,0.15014,-1.0
2015-04-23,0.15054,-1.0
2015-04-24,0.14907,-1.0
2015-04-27,0.1486,-1.0
2015-04-28,0.14777,-1.0
2015-04-29,0.1468,-1.0
2015-04-30,0.14507,-1.0
2015-05-01,0.14353,1.0
2015-05-04,0.14391,1.0
2015-05-05,0.14445,1.0
2015-05-06,0.14406,1.0
2015-05-07,0.14213,1.0
2015-05-08,0.14306,1.0
2015-05-11,0.1438,1.0
2015-05-12,0.14439,-1.0
2015-05-13,0.14355,-1.0
2015-05-14,0.14188,-1.0
2015-05-15,0.14133,-1.0
2015-05-18,0.14068,-1.0
2015-05-19,0.14239,-1.0
2015-05-20,0.1445,1.0
2015-05-21,0.1452,1.0
2015-05-22,0.14524,1.0
2015-05-25,0.14647,1.0
2015-05-26,0.14694,1.0
2015-05-27,0.148,1.0
2015-05-28,0.14782,-1.0
2015-05-29,0.14697,-1.0
2015-06-01,0.14672,-1.0
2015-06-02,0.14759,-1.0
2015-06-03,0.14464,-1.0
2015-06-04,0.14311,-1.0
2015-06-05,0.14388,1.0
2015-06-08,0.14505,1.0
2015-06-09,0.14274,1.0
2015-06-10,0.14287,1.0
2015-06-11,0.14224,1.0
2015-06-12,0.14326,1.0
2015-06-15,0.14298,-1.0
2015-06-16,0.14276,-1.0
2015-06-17,0.14315,-1.0
2015-06-18,0.14203,-1.0
2015-06-19,0.1416,-1.0
2015-06-22,0.1418,-1.0
2015-06-23,0.14194,-1.0
2015-06-24,0.14419,-1.0
2015-06-25,0.14379,0.0
2015-06-26,0.14372,-1.0
2015-06-29,0.1442,-1.0
2015-06-30,0.14356,-1.0
2015-07-01,0.14477,-1.0
2015-07-02,0.14585,-1.0
2015-07-03,0.14537,-1.0
2015-07-06,0.145,1.0
2015-07-07,0.14563,1.0
2015-07-08,0.1463,1.0
2015-07-09,0.1454,1.0
2015-07-10,0.14563,1.0
2015-07-13,0.14435,1.0
2015-07-14,0.14629,-1.0
2015-07-15,0.14616,-1.0
2015-07-16,0.14701,-1.0
2015-07-17,0.14799,-1.0
2015-07-20,0.14865,-1.0
2015-07-21,0.14869,-1.0
2015-07-22,0.14719,-1.0
2015-07-23,0.14732,-1.0
2015-07-24,0.14654,1.0
2015-07-27,0.14665,1.0
2015-07-28,0.1452,1.0
2015-07-29,0.14557,1.0
2015-07-30,0.14654,1.0
2015-07-31,0.14725,1.0
2015-08-03,0.14664,1.0
2015-08-04,0.14699,1.0
2015-08-05,0.14781,1.0
2015-08-06,0.14769,1.0
2015-08-07,0.14733,-1.0
2015-08-10,0.14683,-1.0
2015-08-11,0.1461,-1.0
2015-08-12,0.14317,-1.0
2015-08-13,0.14034,-1.0
2015-08-14,0.14009,-1.0
2015-08-17,0.1408,1.0
2015-08-18,0.14114,1.0
2015-08-19,0.1418,1.0
2015-08-20,0.1406,1.0
2015-08-21,0.13929,1.0
2015-08-24,0.13733,1.0
2015-08-25,0.13481,1.0
2015-08-26,0.13515,-1.0
2015-08-27,0.1376,-1.0
2015-08-28,0.13886,-1.0
2015-08-31,0.13999,-1.0
2015-09-01,0.13985,-1.0
2015-09-02,0.13898,-1.0
2015-09-03,0.14024,1.0
2015-09-04,0.14143,1.0
2015-09-07,0.14106,1.0
2015-09-08,0.14083,1.0
2015-09-09,0.14011,1.0
2015-09-10,0.13971,1.0
