Date,Price,Signal
2015-01-28,0.10538,-1.0
2015-01-29,0.10562,-1.0
2015-01-30,0.10616,-1.0
2015-02-02,0.10613,-1.0
2015-02-03,0.10627,-1.0
2015-02-04,0.10541,-1.0
2015-02-05,0.10536,-1.0
2015-02-06,0.1043,1.0
2015-02-09,0.105,1.0
2015-02-10,0.10515,1.0
2015-02-11,0.10502,1.0
2015-02-12,0.10506,1.0
2015-02-13,0.10406,1.0
2015-02-16,0.10399,1.0
2015-02-17,0.10412,1.0
2015-02-18,0.10411,1.0
2015-02-19,0.10348,-1.0
2015-02-20,0.10365,-1.0
2015-02-23,0.10376,-1.0
2015-02-24,0.10339,-1.0
2015-02-25,0.10344,-1.0
2015-02-26,0.10284,-1.0
2015-02-27,0.10363,1.0
2015-03-02,0.10345,1.0
2015-03-03,0.10373,1.0
2015-03-04,0.1037,1.0
2015-03-05,0.10443,1.0
2015-03-06,0.10458,1.0
2015-03-09,0.10615,-1.0
2015-03-10,0.10554,-1.0
2015-03-11,0.10593,-1.0
2015-03-12,0.10691,-1.0
2015-03-13,0.10721,-1.0
2015-03-16,0.10831,-1.0
2015-03-17,0.10767,1.0
2015-03-18,0.10851,1.0
2015-03-19,0.10732,1.0
2015-03-20,0.10933,1.0
2015-03-23,0.10776,1.0
2015-03-24,0.10745,1.0
2015-03-25,0.10855,-1.0
2015-03-26,0.10805,-1.0
2015-03-27,0.10841,-1.0
2015-03-30,0.10811,-1.0
2015-03-31,0.10874,-1.0
2015-04-01,0.10873,-1.0
2015-04-02,0.10874,1.0
2015-04-03,0.10872,1.0
2015-04-06,0.10936,1.0
2015-04-07,0.1084,1.0
2015-04-08,0.10884,1.0
2015-04-09,0.10833,1.0
2015-04-10,0.10946,1.0
2015-04-13,0.11003,-1.0
2015-04-14,0.10962,-1.0
2015-04-15,0.1089,-1.0
2015-04-16,0.10866,-1.0
2015-04-17,0.10807,-1.0
2015-04-20,0.1078,-1.0
2015-04-21,0.10817,1.0
2015-04-22,0.10799,1.0
2015-04-23,0.10734,1.0
2015-04-24,0.10713,1.0
2015-04-27,0.10625,1.0
2015-04-28,0.10553,1.0
2015-04-29,0.10503,1.0
2015-04-30,0.10451,1.0
2015-05-01,0.10495,-1.0
2015-05-04,0.10645,-1.0
2015-05-05,0.10649,-1.0
2015-05-06,0.10616,-1.0
2015-05-07,0.10577,-1.0
2015-05-08,0.10446,-1.0
2015-05-11,0.10413,1.0
2015-05-12,0.10334,1.0
2015-05-13,0.10275,1.0
2015-05-14,0.10233,1.0
2015-05-15,0.10217,1.0
2015-05-18,0.10241,1.0
2015-05-19,0.10289,1.0
2015-05-20,0.10379,-1.0
2015-05-21,0.10368,-1.0
2015-05-22,0.10301,-1.0
2015-05-25,0.10412,-1.0
2015-05-26,0.10425,-1.0
2015-05-27,0.10466,-1.0
2015-05-28,0.10499,1.0
2015-05-29,0.10522,1.0
2015-06-01,0.10544,1.0
2015-06-02,0.10607,1.0
2015-06-03,0.10512,1.0
2015-06-04,0.10517,1.0
2015-06-05,0.10498,1.0
2015-06-08,0.10554,-1.0
2015-06-09,0.10498,-1.0
2015-06-10,0.10471,-1.0
2015-06-11,0.10383,-1.0
2015-06-12,0.10381,-1.0
2015-06-15,0.10343,-1.0
2015-06-16,0.10321,-1.0
2015-06-17,0.10287,1.0
2015-06-18,0.10171,1.0
2015-06-19,0.1014,1.0
2015-06-22,0.10135,1.0
2015-06-23,0.10173,1.0
2015-06-24,0.10238,1.0
2015-06-25,0.10255,1.0
2015-06-26,0.10222,1.0
2015-06-29,0.10225,1.0
2015-06-30,0.10234,1.0
2015-07-01,0.10276,1.0
2015-07-02,0.10319,1.0
2015-07-03,0.10319,1.0
2015-07-06,0.10352,-1.0
2015-07-07,0.10317,-1.0
2015-07-08,0.1041,-1.0
2015-07-09,0.10473,-1.0
2015-07-10,0.10472,-1.0
2015-07-13,0.10376,-1.0
2015-07-14,0.10394,1.0
2015-07-15,0.10296,1.0
2015-07-16,0.10297,1.0
2015-07-17,0.10313,1.0
2015-07-20,0.10317,1.0
2015-07-21,0.10341,1.0
2015-07-22,0.10345,-1.0
2015-07-23,0.10307,-1.0
2015-07-24,0.10373,-1.0
2015-07-27,0.1038,-1.0
2015-07-28,0.10346,-1.0
2015-07-29,0.10312,-1.0
2015-07-30,0.10315,-1.0
2015-07-31,0.1032,1.0
2015-08-03,0.10305,1.0
2015-08-04,0.10326,1.0
2015-08-05,0.10341,1.0
2015-08-06,0.10317,1.0
2015-08-07,0.10376,1.0
2015-08-10,0.10392,-1.0
2015-08-11,0.10326,-1.0
2015-08-12,0.10146,-1.0
2015-08-13,0.10024,-1.0
2015-08-14,0.10006,-1.0
2015-08-17,0.09997,-1.0
2015-08-18,0.10029,-1.0
2015-08-19,0.09981,-1.0
2015-08-20,0.09967,0.0
2015-08-21,0.09972,1.0
2015-08-24,0.0997,1.0
2015-08-25,0.09909,1.0
2015-08-26,0.09929,1.0
2015-08-27,0.10075,1.0
2015-08-28,0.10129,1.0
2015-08-31,0.10168,1.0
2015-09-01,0.10215,1.0
2015-09-02,0.10262,-1.0
2015-09-03,0.10275,-1.0
2015-09-04,0.10312,-1.0
2015-09-07,0.10367,-1.0
2015-09-08,0.1029,-1.0
2015-09-09,0.10198,-1.0
2015-09-10,0.10206,-1.0
2015-09-11,0.1015,1.0
2015-09-14,0.10163,1.0
2015-09-15,0.10179,1.0
2015-09-16,0.10227,1.0
2015-09-17,0.10127,1.0
2015-09-18,0.10081,1.0
2015-09-21,0.10114,1.0
2015-09-22,0.10119,1.0
2015-09-23,0.10208,1.0
2015-09-24,0.10268,1.0
2015-09-25,0.10287,1.0
2015-09-28,0.10331,-1.0
2015-09-29,0.10317,-1.0
2015-09-30,0.10367,-1.0
2015-10-01,0.10397,-1.0
2015-10-02,0.1039,-1.0
2015-10-05,0.10354,-1.0
2015-10-06,0.10381,-1.0
2015-10-07,0.10324,-1.0
2015-10-08,0.10267,1.0
2015-10-09,0.10251,1.0
2015-10-12,0.10284,1.0
2015-10-13,0.10305,1.0
2015-10-14,0.10332,1.0
2015-10-15,0.10178,1.0
2015-10-16,0.10177,1.0
2015-10-19,0.10192,1.0
2015-10-20,0.10162,1.0
2015-10-21,0.10193,-1.0
2015-10-22,0.10213,-1.0
2015-10-23,0.10214,-1.0
2015-10-26,0.10281,-1.0
2015-10-27,0.10252,-1.0
2015-10-28,0.10274,-1.0
2015-10-29,0.10292,-1.0
2015-10-30,0.10267,-1.0
2015-11-02,0.10253,-1.0
2015-11-03,0.10231,-1.0
2015-11-04,0.10231,-1.0
2015-11-05,0.10251,-1.0
2015-11-06,0.10354,1.0
2015-11-09,0.10455,1.0
2015-11-10,0.10393,1.0
2015-11-11,0.10392,1.0
2015-11-12,0.10319,1.0
