Date,Price,Signal
2015-01-28,18.836,-1.0
2015-01-29,18.769,-1.0
2015-01-30,18.922,-1.0
2015-02-02,18.769,-1.0
2015-02-03,18.772,-1.0
2015-02-04,18.761,-1.0
2015-02-05,18.742,1.0
2015-02-06,18.771,1.0
2015-02-09,19.053,1.0
2015-02-10,18.953,1.0
2015-02-11,19.112,1.0
2015-02-12,19.25,1.0
2015-02-13,19.055,1.0
2015-02-16,19.003,1.0
2015-02-17,18.932,1.0
2015-02-18,19.035,1.0
2015-02-19,18.953,1.0
2015-02-20,19.008,-1.0
2015-02-23,19.004,-1.0
2015-02-24,18.974,-1.0
2015-02-25,18.995,-1.0
2015-02-26,18.964,-1.0
2015-02-27,19.053,-1.0
2015-03-02,19.102,1.0
2015-03-03,19.134,1.0
2015-03-04,19.048,1.0
2015-03-05,19.069,1.0
2015-03-06,19.143,1.0
2015-03-09,19.268,1.0
2015-03-10,19.34,1.0
2015-03-11,19.317,1.0
2015-03-12,19.379,1.0
2015-03-13,19.353,1.0
2015-03-16,19.369,1.0
2015-03-17,19.357,1.0
2015-03-18,19.402,-1.0
2015-03-19,19.275,-1.0
2015-03-20,19.468,-1.0
2015-03-23,19.325,-1.0
2015-03-24,19.229,-1.0
2015-03-25,19.27,-1.0
2015-03-26,19.197,1.0
2015-03-27,19.175,1.0
2015-03-30,19.142,1.0
2015-03-31,19.324,1.0
2015-04-01,19.334,1.0
2015-04-02,19.284,1.0
2015-04-03,19.301,1.0
2015-04-06,19.386,1.0
2015-04-07,19.265,1.0
2015-04-08,19.385,1.0
2015-04-09,19.346,1.0
2015-04-10,19.4,1.0
2015-04-13,19.337,-1.0
2015-04-14,19.298,-1.0
2015-04-15,19.195,-1.0
2015-04-16,19.183,-1.0
2015-04-17,19.189,-1.0
2015-04-20,19.159,-1.0
2015-04-21,19.208,1.0
2015-04-22,19.279,1.0
2015-04-23,19.348,1.0
2015-04-24,19.272,1.0
2015-04-27,19.179,1.0
2015-04-28,19.123,1.0
2015-04-29,19.131,1.0
2015-04-30,19.182,1.0
2015-05-01,19.223,1.0
2015-05-04,19.351,1.0
2015-05-05,19.322,1.0
2015-05-06,19.298,-1.0
2015-05-07,19.238,-1.0
2015-05-08,19.265,-1.0
2015-05-11,19.282,-1.0
2015-05-12,19.324,-1.0
2015-05-13,19.286,-1.0
2015-05-14,19.177,-1.0
2015-05-15,19.193,-1.0
2015-05-18,19.19,1.0
2015-05-19,19.315,1.0
2015-05-20,19.418,1.0
2015-05-21,19.519,1.0
2015-05-22,19.513,1.0
2015-05-25,19.587,1.0
2015-05-26,19.594,1.0
2015-05-27,19.805,-1.0
2015-05-28,19.926,-1.0
2015-05-29,19.94,-1.0
2015-06-01,20.004,-1.0
2015-06-02,20.108,-1.0
2015-06-03,19.996,-1.0
2015-06-04,20.024,1.0
2015-06-05,20.044,1.0
2015-06-08,20.224,1.0
2015-06-09,20.051,1.0
2015-06-10,20.014,1.0
2015-06-11,19.755,1.0
2015-06-12,19.883,-1.0
2015-06-15,19.854,-1.0
2015-06-16,19.854,-1.0
2015-06-17,19.848,-1.0
2015-06-18,19.859,-1.0
2015-06-19,19.78,-1.0
2015-06-22,19.737,1.0
2015-06-23,19.841,1.0
2015-06-24,19.94,1.0
2015-06-25,19.935,1.0
2015-06-26,19.879,1.0
2015-06-29,19.927,1.0
2015-06-30,19.713,1.0
2015-07-01,19.717,1.0
2015-07-02,19.835,-1.0
2015-07-03,19.812,-1.0
2015-07-06,19.788,-1.0
2015-07-07,19.719,-1.0
2015-07-08,19.697,-1.0
2015-07-09,19.397,-1.0
2015-07-10,19.581,1.0
2015-07-13,19.755,1.0
2015-07-14,19.86,1.0
2015-07-15,19.84,1.0
2015-07-16,19.935,1.0
2015-07-17,19.966,1.0
2015-07-20,19.958,1.0
2015-07-21,19.989,-1.0
2015-07-22,19.921,-1.0
2015-07-23,19.937,-1.0
2015-07-24,19.928,-1.0
2015-07-27,19.911,-1.0
2015-07-28,19.825,-1.0
2015-07-29,19.881,1.0
2015-07-30,19.932,1.0
2015-07-31,19.973,1.0
2015-08-03,19.939,1.0
2015-08-04,19.943,1.0
2015-08-05,19.992,1.0
2015-08-06,20.084,-1.0
2015-08-07,20.057,-1.0
2015-08-10,19.978,-1.0
2015-08-11,20.04,-1.0
2015-08-12,19.758,-1.0
2015-08-13,19.425,-1.0
2015-08-14,19.421,1.0
2015-08-17,19.424,1.0
2015-08-18,19.432,1.0
2015-08-19,19.431,1.0
2015-08-20,19.35,1.0
2015-08-21,19.301,1.0
2015-08-24,19.072,-1.0
2015-08-25,18.508,-1.0
2015-08-26,18.517,-1.0
2015-08-27,18.75,-1.0
2015-08-28,18.886,-1.0
2015-08-31,19.03,-1.0
2015-09-01,18.988,-1.0
2015-09-02,18.753,1.0
2015-09-03,18.942,1.0
2015-09-04,18.879,1.0
2015-09-07,18.703,1.0
2015-09-08,18.755,1.0
2015-09-09,18.822,1.0
2015-09-10,18.841,1.0
2015-09-11,18.91,1.0
2015-09-14,18.892,-1.0
2015-09-15,18.874,-1.0
2015-09-16,18.873,-1.0
2015-09-17,18.905,-1.0
2015-09-18,18.845,-1.0
2015-09-21,18.83,-1.0
2015-09-22,18.907,1.0
2015-09-23,18.808,1.0
2015-09-24,18.807,1.0
2015-09-25,18.819,1.0
2015-09-28,18.894,1.0
2015-09-29,18.743,1.0
2015-09-30,18.801,1.0
2015-10-01,18.844,1.0
2015-10-02,18.828,1.0
2015-10-05,18.839,-1.0
2015-10-06,18.927,-1.0
2015-10-07,18.891,-1.0
2015-10-08,18.849,-1.0
2015-10-09,18.851,-1.0
2015-10-12,18.929,-1.0
2015-10-13,18.965,1.0
2015-10-14,18.854,1.0
2015-10-15,18.705,1.0
2015-10-16,18.72,1.0
2015-10-19,18.778,1.0
2015-10-20,18.766,1.0
2015-10-21,18.845,1.0
2015-10-22,18.867,-1.0
2015-10-23,18.963,-1.0
2015-10-26,19.101,-1.0
2015-10-27,19.028,-1.0
2015-10-28,18.935,-1.0
2015-10-29,19.021,-1.0
2015-10-30,19.009,1.0
2015-11-02,19.064,1.0
2015-11-03,19.027,1.0
2015-11-04,19.087,1.0
2015-11-05,19.156,1.0
2015-11-06,19.158,1.0
2015-11-09,19.358,-1.0
2015-11-10,19.321,-1.0
2015-11-11,19.342,-1.0
2015-11-12,19.268,-1.0
2015-11-13,19.229,-1.0
2015-11-16,19.208,-1.0
2015-11-17,19.313,1.0
2015-11-18,19.346,1.0
2015-11-19,19.336,1.0
2015-11-20,19.236,1.0
2015-11-23,19.206,1.0
2015-11-24,19.198,1.0
2015-11-25,19.151,1.0
2015-11-26,19.186,1.0
2015-11-27,19.169,1.0
2015-11-30,19.19,1.0
2015-12-01,19.215,1.0
2015-12-02,19.182,1.0
2015-12-03,19.235,1.0
2015-12-04,19.146,1.0
2015-12-07,19.22,1.0
2015-12-08,19.225,1.0
2015-12-09,19.122,-1.0
2015-12-10,18.923,-1.0
2015-12-11,18.875,-1.0
2015-12-14,18.716,-1.0
2015-12-15,18.694,-1.0
2015-12-16,18.797,-1.0
2015-12-17,18.858,1.0
2015-12-18,18.875,1.0
2015-12-21,18.684,1.0
2015-12-22,18.677,1.0
2015-12-23,18.66,1.0
2015-12-24,18.648,1.0
2015-12-25,18.557,1.0
2015-12-28,18.57,1.0
2015-12-29,18.53,1.0
2015-12-30,18.56,-1.0
2015-12-31,18.546,-1.0
2016-01-01,18.496,-1.0
2016-01-04,18.51,-1.0
2016-01-05,18.24,-1.0
2016-01-06,18.229,-1.0
2016-01-07,18.05,1.0
2016-01-08,17.821,1.0
2016-01-11,17.76,1.0
2016-01-12,17.898,1.0
2016-01-13,17.865,1.0
2016-01-14,17.868,1.0
2016-01-15,17.889,-1.0
2016-01-18,17.746,-1.0
2016-01-19,17.811,-1.0
2016-01-20,17.859,-1.0
2016-01-21,17.754,-1.0
2016-01-22,17.875,-1.0
2016-01-25,18.024,1.0
2016-01-26,17.961,1.0
2016-01-27,17.97,1.0
2016-01-28,18.003,1.0
2016-01-29,18.042,1.0
2016-02-01,18.406,1.0
2016-02-02,18.363,-1.0
2016-02-03,18.19,-1.0
2016-02-04,17.915,-1.0
2016-02-05,17.755,-1.0
2016-02-08,17.754,-1.0
2016-02-09,17.563,-1.0
2016-02-10,17.492,-1.0
2016-02-11,17.243,-1.0
2016-02-12,17.108,1.0
2016-02-15,17.203,1.0
2016-02-16,17.599,1.0
2016-02-17,17.504,1.0
2016-02-18,17.453,1.0
2016-02-19,17.352,1.0
2016-02-22,17.244,1.0
2016-02-23,17.295,-1.0
2016-02-24,17.133,-1.0
2016-02-25,17.121,-1.0
2016-02-26,17.263,-1.0
2016-02-29,17.411,-1.0
2016-03-01,17.134,-1.0
2016-03-02,17.394,1.0
2016-03-03,17.312,1.0
2016-03-04,17.369,1.0
2016-03-07,17.427,1.0
2016-03-08,17.374,1.0
2016-03-09,17.285,1.0
2016-03-10,17.374,1.0
2016-03-11,17.359,1.0
2016-03-14,17.526,1.0
2016-03-15,17.498,1.0
2016-03-16,17.345,-1.0
2016-03-17,17.275,-1.0
2016-03-18,17.168,-1.0
2016-03-21,17.22,-1.0
2016-03-22,17.278,-1.0
2016-03-23,17.292,-1.0
2016-03-24,17.258,1.0
2016-03-25,17.294,1.0
2016-03-28,17.342,1.0
2016-03-29,17.413,1.0
2016-03-30,17.309,1.0
2016-03-31,17.375,1.0
2016-04-01,17.411,1.0
2016-04-04,17.213,1.0
2016-04-05,17.156,-1.0
2016-04-06,17.015,-1.0
2016-04-07,16.898,-1.0
2016-04-08,16.711,-1.0
2016-04-11,16.672,-1.0
2016-04-12,16.685,-1.0
2016-04-13,16.787,1.0
2016-04-14,16.85,1.0
2016-04-15,16.832,1.0
2016-04-18,16.774,1.0
2016-04-19,16.784,1.0
2016-04-20,16.885,1.0
2016-04-21,16.952,-1.0
2016-04-22,16.877,-1.0
2016-04-25,17.159,-1.0
2016-04-26,17.108,-1.0
2016-04-27,17.124,-1.0
2016-04-28,17.14,-1.0
2016-04-29,16.683,-1.0
2016-05-02,16.406,-1.0
2016-05-03,16.408,1.0
2016-05-04,16.443,1.0
2016-05-05,16.437,1.0
2016-05-06,16.47,1.0
2016-05-09,16.46,1.0
2016-05-10,16.613,1.0
2016-05-11,16.747,-1.0
2016-05-12,16.679,-1.0
2016-05-13,16.696,-1.0
2016-05-16,16.615,-1.0
2016-05-17,16.711,-1.0
2016-05-18,16.717,-1.0
2016-05-19,16.818,1.0
2016-05-20,16.769,1.0
2016-05-23,16.794,1.0
2016-05-24,16.653,1.0
2016-05-25,16.756,1.0
2016-05-26,16.786,1.0
2016-05-27,16.717,1.0
2016-05-30,16.776,1.0
2016-05-31,16.905,-1.0
2016-06-01,16.808,-1.0
2016-06-02,16.635,-1.0
2016-06-03,16.512,-1.0
2016-06-06,16.218,-1.0
2016-06-07,16.358,-1.0
2016-06-08,16.302,-1.0
2016-06-09,16.254,-1.0
2016-06-10,16.294,-1.0
2016-06-13,16.277,1.0
2016-06-14,16.102,1.0
2016-06-15,16.061,1.0
2016-06-16,16.061,1.0
2016-06-17,15.809,1.0
2016-06-20,15.781,1.0
2016-06-21,15.771,1.0
2016-06-22,15.868,-1.0
2016-06-23,15.901,-1.0
2016-06-24,16.171,-1.0
2016-06-27,15.427,-1.0
2016-06-28,15.307,-1.0
2016-06-29,15.417,-1.0
2016-06-30,15.475,1.0
2016-07-01,15.511,1.0
2016-07-04,15.382,1.0
2016-07-05,15.383,1.0
2016-07-06,15.2,1.0
2016-07-07,15.128,1.0
2016-07-08,15.056,-1.0
2016-07-11,14.997,-1.0
2016-07-12,15.32,-1.0
2016-07-13,15.635,-1.0
2016-07-14,15.584,-1.0
2016-07-15,15.729,-1.0
2016-07-18,15.747,1.0
2016-07-19,15.836,1.0
2016-07-20,15.839,1.0
2016-07-21,16.019,1.0
2016-07-22,15.84,1.0
2016-07-25,15.851,1.0
2016-07-26,15.817,-1.0
2016-07-27,15.679,-1.0
2016-07-28,15.744,-1.0
2016-07-29,15.793,-1.0
2016-08-01,15.352,-1.0
2016-08-02,15.389,-1.0
2016-08-03,15.2,1.0
2016-08-04,15.246,1.0
2016-08-05,15.217,1.0
2016-08-08,15.281,1.0
2016-08-09,15.353,1.0
2016-08-10,15.288,1.0
2016-08-11,15.224,-1.0
2016-08-12,15.319,-1.0
2016-08-15,15.248,-1.0
2016-08-16,15.234,-1.0
2016-08-17,15.11,-1.0
2016-08-18,15.081,-1.0
2016-08-19,15.046,-1.0
2016-08-22,15.045,1.0
2016-08-23,15.071,1.0
2016-08-24,15.086,1.0
2016-08-25,15.07,1.0
2016-08-26,15.087,1.0
2016-08-29,15.244,1.0
2016-08-30,15.222,-1.0
2016-08-31,15.39,-1.0
2016-09-01,15.45,-1.0
2016-09-02,15.45,-1.0
2016-09-05,15.546,-1.0
2016-09-06,15.467,-1.0
2016-09-07,15.277,1.0
2016-09-08,15.241,1.0
2016-09-09,15.338,1.0
2016-09-12,15.384,1.0
2016-09-13,15.225,1.0
2016-09-14,15.323,1.0
2016-09-15,15.319,-1.0
2016-09-16,15.245,-1.0
2016-09-19,15.309,-1.0
2016-09-20,15.253,-1.0
2016-09-21,15.223,-1.0
2016-09-22,15.025,-1.0
2016-09-23,15.109,1.0
2016-09-26,15.129,1.0
2016-09-27,15.019,1.0
2016-09-28,15.031,1.0
2016-09-29,15.077,1.0
2016-09-30,15.148,1.0
2016-10-03,15.171,1.0
2016-10-04,15.222,1.0
2016-10-05,15.393,1.0
2016-10-06,15.492,1.0
2016-10-07,15.559,-1.0
2016-10-10,15.406,-1.0
2016-10-11,15.434,-1.0
2016-10-12,15.402,-1.0
2016-10-13,15.492,-1.0
2016-10-14,15.38,-1.0
2016-10-17,15.476,-1.0
2016-10-18,15.386,-1.0
2016-10-19,15.386,-1.0
2016-10-20,15.32,1.0
2016-10-21,15.393,1.0
2016-10-24,15.32,1.0
2016-10-25,15.383,1.0
2016-10-26,15.341,1.0
2016-10-27,15.415,1.0
2016-10-28,15.493,-1.0
2016-10-31,15.431,-1.0
2016-11-01,15.454,-1.0
2016-11-02,15.345,-1.0
2016-11-03,15.274,-1.0
2016-11-04,15.201,-1.0
2016-11-07,15.246,-1.0
2016-11-08,15.399,1.0
2016-11-09,15.468,1.0
2016-11-10,15.526,1.0
2016-11-11,15.675,1.0
2016-11-14,15.64,1.0
2016-11-15,15.795,1.0
2016-11-16,15.875,-1.0
2016-11-17,15.801,-1.0
2016-11-18,16.018,-1.0
2016-11-21,16.076,-1.0
2016-11-22,16.04,-1.0
2016-11-23,16.103,-1.0
2016-11-24,16.221,1.0
2016-11-25,16.346,1.0
2016-11-28,16.356,1.0
2016-11-29,16.171,1.0
2016-11-30,16.264,1.0
2016-12-01,16.574,1.0
2016-12-02,16.561,1.0
2016-12-05,16.469,1.0
2016-12-06,16.519,1.0
2016-12-07,16.549,1.0
2016-12-08,16.503,1.0
2016-12-09,16.565,1.0
2016-12-12,16.673,1.0
2016-12-13,16.591,-1.0
2016-12-14,16.665,-1.0
2016-12-15,16.937,-1.0
2016-12-16,16.996,-1.0
2016-12-19,16.92,-1.0
2016-12-20,16.82,-1.0
2016-12-21,16.919,1.0
2016-12-22,16.892,1.0
2016-12-23,16.892,1.0
2016-12-26,16.874,1.0
2016-12-27,16.83,1.0
2016-12-28,16.874,1.0
2016-12-29,16.778,1.0
2016-12-30,16.733,-1.0
2017-01-02,16.822,-1.0
2017-01-03,16.88,-1.0
2017-01-04,16.873,-1.0
2017-01-05,16.889,-1.0
2017-01-06,16.735,-1.0
2017-01-09,16.884,1.0
2017-01-10,16.681,1.0
2017-01-11,16.707,1.0
2017-01-12,16.615,1.0
2017-01-13,16.621,1.0
2017-01-16,16.57,1.0
2017-01-17,16.516,-1.0
2017-01-18,16.425,-1.0
2017-01-19,16.727,-1.0
2017-01-20,16.716,-1.0
2017-01-23,16.652,-1.0
2017-01-24,16.412,-1.0
2017-01-25,16.579,-1.0
2017-01-26,16.443,1.0
2017-01-27,16.629,1.0
2017-01-30,16.718,1.0
2017-01-31,16.496,1.0
2017-02-01,16.365,1.0
2017-02-02,16.446,1.0
2017-02-03,16.384,0.0
2017-02-06,16.376,1.0
2017-02-07,16.264,1.0
2017-02-08,16.296,1.0
2017-02-09,16.265,1.0
2017-02-10,16.475,1.0
2017-02-13,16.437,1.0
2017-02-14,16.516,1.0
2017-02-15,16.623,-1.0
2017-02-16,16.601,-1.0
2017-02-17,16.501,-1.0
2017-02-20,16.418,-1.0
2017-02-21,16.429,-1.0
2017-02-22,16.492,-1.0
2017-02-23,16.456,1.0
2017-02-24,16.385,1.0
2017-02-27,16.311,1.0
2017-02-28,16.387,1.0
2017-03-01,16.408,1.0
2017-03-02,16.502,1.0
2017-03-03,16.574,-1.0
2017-03-06,16.51,-1.0
2017-03-07,16.498,-1.0
2017-03-08,16.489,-1.0
2017-03-09,16.527,-1.0
2017-03-10,16.622,-1.0
2017-03-13,16.606,1.0
2017-03-14,16.604,1.0
2017-03-15,16.567,1.0
2017-03-16,16.379,1.0
2017-03-17,16.409,1.0
2017-03-20,16.31,1.0
2017-03-21,16.266,1.0
2017-03-22,16.166,1.0
2017-03-23,16.151,1.0
2017-03-24,16.1,1.0
2017-03-27,16.16,1.0
2017-03-28,16.086,1.0
2017-03-29,16.13,-1.0
2017-03-30,16.105,-1.0
2017-03-31,16.205,-1.0
2017-04-03,16.158,-1.0
2017-04-04,16.08,-1.0
2017-04-05,16.075,-1.0
2017-04-06,16.008,1.0
2017-04-07,16.05,1.0
2017-04-10,16.079,1.0
