Date,Price,Signal
2015-01-28,0.1601,0.0
2015-01-29,0.16,-1.0
2015-01-30,0.16,-1.0
2015-02-02,0.16,-1.0
2015-02-03,0.1597,-1.0
2015-02-04,0.1598,-1.0
2015-02-05,0.16,-1.0
2015-02-06,0.1599,0.0
2015-02-09,0.1601,0.0
2015-02-10,0.16,0.0
2015-02-11,0.1602,0.0
2015-02-12,0.1601,0.0
2015-02-13,0.1601,0.0
2015-02-16,0.1602,0.0
2015-02-17,0.16,0.0
2015-02-18,0.1598,0.0
2015-02-19,0.1598,0.0
2015-02-20,0.1598,0.0
2015-02-23,0.1598,0.0
2015-02-24,0.1598,0.0
2015-02-25,0.1598,0.0
2015-02-26,0.1597,0.0
2015-02-27,0.1597,0.0
2015-03-02,0.1597,0.0
2015-03-03,0.1594,0.0
2015-03-04,0.1593,0.0
2015-03-05,0.1594,0.0
2015-03-06,0.1595,0.0
2015-03-09,0.1596,0.0
2015-03-10,0.1596,0.0
2015-03-11,0.1596,0.0
2015-03-12,0.1597,0.0
2015-03-13,0.1597,0.0
2015-03-16,0.1597,0.0
2015-03-17,0.1596,0.0
2015-03-18,0.16,0.0
2015-03-19,0.1605,1.0
2015-03-20,0.1613,1.0
2015-03-23,0.1611,1.0
2015-03-24,0.1609,1.0
2015-03-25,0.1611,1.0
2015-03-26,0.1608,1.0
2015-03-27,0.161,0.0
2015-03-30,0.1609,1.0
2015-03-31,0.1611,1.0
2015-04-01,0.1613,1.0
2015-04-02,0.1613,1.0
2015-04-03,0.1613,1.0
2015-04-06,0.1631,1.0
2015-04-07,0.1614,0.0
2015-04-08,0.1613,0.0
2015-04-09,0.1612,0.0
2015-04-10,0.1611,0.0
2015-04-13,0.161,0.0
2015-04-14,0.1608,0.0
2015-04-15,0.1609,0.0
2015-04-16,0.1611,0.0
2015-04-17,0.1614,0.0
2015-04-20,0.1613,0.0
2015-04-21,0.1612,0.0
2015-04-22,0.1612,0.0
2015-04-23,0.1614,0.0
2015-04-24,0.1613,0.0
2015-04-27,0.1614,0.0
2015-04-28,0.1608,0.0
2015-04-29,0.1611,1.0
2015-04-30,0.1613,1.0
2015-05-01,0.1612,1.0
2015-05-04,0.1612,1.0
2015-05-05,0.161,1.0
2015-05-06,0.1611,1.0
2015-05-07,0.1612,0.0
2015-05-08,0.1611,0.0
2015-05-11,0.161,0.0
2015-05-12,0.161,0.0
2015-05-13,0.161,0.0
2015-05-14,0.1611,0.0
2015-05-15,0.1612,0.0
2015-05-18,0.1611,0.0
2015-05-19,0.1611,0.0
2015-05-20,0.1611,0.0
2015-05-21,0.1611,0.0
2015-05-22,0.1613,0.0
2015-05-25,0.1613,0.0
2015-05-26,0.1613,0.0
2015-05-27,0.1611,0.0
2015-05-28,0.1612,0.0
2015-05-29,0.1612,0.0
2015-06-01,0.1613,0.0
2015-06-02,0.1613,0.0
2015-06-03,0.1613,0.0
2015-06-04,0.1613,0.0
2015-06-05,0.1612,0.0
2015-06-08,0.1612,0.0
2015-06-09,0.1611,0.0
2015-06-10,0.1611,0.0
2015-06-11,0.1611,0.0
2015-06-12,0.1611,0.0
2015-06-15,0.161,0.0
2015-06-16,0.161,0.0
2015-06-17,0.161,0.0
2015-06-18,0.161,0.0
2015-06-19,0.161,0.0
2015-06-22,0.161,0.0
2015-06-23,0.161,0.0
2015-06-24,0.1611,0.0
2015-06-25,0.1611,0.0
2015-06-26,0.161,0.0
2015-06-29,0.161,0.0
2015-06-30,0.161,0.0
2015-07-01,0.1612,0.0
2015-07-02,0.1612,0.0
2015-07-03,0.1611,0.0
2015-07-06,0.1612,0.0
2015-07-07,0.161,0.0
2015-07-08,0.161,0.0
2015-07-09,0.161,0.0
2015-07-10,0.161,0.0
2015-07-13,0.161,0.0
2015-07-14,0.161,0.0
2015-07-15,0.161,0.0
2015-07-16,0.161,0.0
2015-07-17,0.161,0.0
2015-07-20,0.161,0.0
2015-07-21,0.161,0.0
2015-07-22,0.161,0.0
2015-07-23,0.161,0.0
2015-07-24,0.161,0.0
2015-07-27,0.161,0.0
2015-07-28,0.161,0.0
2015-07-29,0.161,0.0
2015-07-30,0.161,0.0
2015-07-31,0.161,0.0
2015-08-03,0.161,0.0
2015-08-04,0.161,0.0
2015-08-05,0.161,0.0
2015-08-06,0.161,0.0
2015-08-07,0.161,0.0
2015-08-10,0.161,0.0
2015-08-11,0.161,0.0
2015-08-12,0.1581,0.0
2015-08-13,0.1566,0.0
2015-08-14,0.1562,0.0
2015-08-17,0.1564,0.0
2015-08-18,0.1564,0.0
2015-08-19,0.1564,0.0
2015-08-20,0.1563,1.0
