Date,Open,High,Low,Close
2015-01-01,0.192,0.192,0.192,0.192
2015-01-02,0.192,0.194,0.192,0.194
2015-01-05,0.195,0.195,0.193,0.194
2015-01-06,0.194,0.194,0.192,0.194
2015-01-07,0.194,0.195,0.194,0.194
2015-01-08,0.194,0.194,0.193,0.193
2015-01-09,0.193,0.193,0.191,0.191
2015-01-12,0.191,0.193,0.19,0.193
2015-01-13,0.193,0.193,0.192,0.193
2015-01-14,0.193,0.195,0.192,0.193
2015-01-15,0.193,0.193,0.19,0.192
2015-01-16,0.192,0.192,0.19,0.191
2015-01-19,0.191,0.191,0.19,0.191
2015-01-20,0.191,0.192,0.191,0.192
2015-01-21,0.192,0.194,0.19,0.194
2015-01-22,0.194,0.196,0.193,0.196
2015-01-23,0.196,0.198,0.195,0.198
2015-01-26,0.199,0.199,0.197,0.197
2015-01-27,0.197,0.197,0.196,0.197
2015-01-28,0.197,0.199,0.194,0.197
2015-01-29,0.199,0.202,0.197,0.201
2015-01-30,0.201,0.202,0.2,0.201
2015-02-02,0.201,0.201,0.199,0.2
2015-02-03,0.2,0.204,0.199,0.201
2015-02-04,0.201,0.202,0.199,0.201
2015-02-05,0.201,0.202,0.2,0.2
2015-02-06,0.2,0.201,0.198,0.2
2015-02-09,0.201,0.202,0.199,0.2
2015-02-10,0.2,0.202,0.199,0.201
2015-02-11,0.201,0.203,0.2,0.202
2015-02-12,0.202,0.204,0.201,0.202
2015-02-13,0.202,0.202,0.201,0.201
2015-02-16,0.201,0.202,0.2,0.201
2015-02-17,0.201,0.202,0.199,0.2
2015-02-18,0.2,0.201,0.199,0.2
2015-02-19,0.2,0.201,0.199,0.2
2015-02-20,0.2,0.2,0.199,0.199
2015-02-23,0.199,0.201,0.199,0.2
2015-02-24,0.2,0.201,0.199,0.199
2015-02-25,0.199,0.2,0.197,0.198
2015-02-26,0.198,0.2,0.197,0.2
2015-02-27,0.2,0.201,0.199,0.2
2015-03-02,0.2,0.201,0.199,0.2
2015-03-03,0.201,0.201,0.198,0.199
2015-03-04,0.199,0.199,0.198,0.199
2015-03-05,0.199,0.201,0.199,0.2
2015-03-06,0.2,0.202,0.199,0.202
2015-03-09,0.202,0.203,0.201,0.203
2015-03-10,0.203,0.205,0.203,0.204
2015-03-11,0.204,0.206,0.204,0.205
2015-03-12,0.205,0.206,0.202,0.202
2015-03-13,0.202,0.205,0.202,0.204
2015-03-16,0.205,0.206,0.203,0.204
2015-03-17,0.204,0.205,0.204,0.205
2015-03-18,0.205,0.207,0.2,0.202
2015-03-19,0.202,0.207,0.201,0.206
2015-03-20,0.206,0.206,0.202,0.202
2015-03-23,0.202,0.202,0.199,0.199
2015-03-24,0.199,0.2,0.198,0.2
2015-03-25,0.2,0.2,0.199,0.2
2015-03-26,0.2,0.201,0.199,0.201
2015-03-27,0.201,0.203,0.201,0.202
2015-03-30,0.203,0.206,0.203,0.205
2015-03-31,0.205,0.207,0.205,0.207
2015-04-01,0.207,0.208,0.206,0.207
2015-04-02,0.207,0.209,0.207,0.208
2015-04-03,0.208,0.209,0.205,0.209
2015-04-06,0.206,0.209,0.206,0.207
2015-04-07,0.208,0.208,0.204,0.206
2015-04-08,0.206,0.206,0.204,0.205
2015-04-09,0.205,0.205,0.203,0.204
2015-04-10,0.204,0.206,0.203,0.205
2015-04-13,0.205,0.208,0.205,0.207
2015-04-14,0.207,0.208,0.206,0.206
2015-04-15,0.207,0.208,0.204,0.205
2015-04-16,0.205,0.205,0.201,0.202
2015-04-17,0.202,0.203,0.201,0.202
2015-04-20,0.202,0.204,0.201,0.204
2015-04-21,0.204,0.205,0.203,0.204
2015-04-22,0.204,0.204,0.202,0.203
2015-04-23,0.203,0.204,0.202,0.202
2015-04-24,0.202,0.203,0.201,0.201
2015-04-27,0.201,0.202,0.199,0.2
2015-04-28,0.2,0.2,0.196,0.196
2015-04-29,0.196,0.197,0.195,0.197
2015-04-30,0.197,0.2,0.196,0.199
2015-05-01,0.199,0.201,0.199,0.2
2015-05-04,0.201,0.201,0.2,0.2
2015-05-05,0.2,0.201,0.198,0.198
2015-05-06,0.198,0.198,0.196,0.197
2015-05-07,0.197,0.199,0.196,0.199
2015-05-08,0.199,0.2,0.197,0.198
2015-05-11,0.198,0.199,0.198,0.199
2015-05-12,0.199,0.199,0.196,0.197
2015-05-13,0.197,0.197,0.193,0.193
2015-05-14,0.193,0.195,0.193,0.195
2015-05-15,0.195,0.197,0.194,0.195
2015-05-18,0.196,0.197,0.196,0.197
2015-05-19,0.197,0.199,0.196,0.198
2015-05-20,0.198,0.2,0.198,0.2
2015-05-21,0.2,0.2,0.199,0.199
2015-05-22,0.199,0.202,0.199,0.201
2015-05-25,0.201,0.201,0.201,0.201
2015-05-26,0.202,0.204,0.201,0.203
2015-05-27,0.203,0.205,0.202,0.204
2015-05-28,0.204,0.207,0.203,0.206
2015-05-29,0.206,0.206,0.205,0.206
2015-06-01,0.206,0.207,0.205,0.207
2015-06-02,0.207,0.207,0.202,0.203
2015-06-03,0.203,0.203,0.201,0.202
2015-06-04,0.203,0.205,0.203,0.205
2015-06-05,0.205,0.207,0.204,0.206
2015-06-08,0.207,0.207,0.204,0.205
2015-06-09,0.205,0.206,0.204,0.205
2015-06-10,0.205,0.206,0.202,0.203
2015-06-11,0.203,0.204,0.202,0.203
2015-06-12,0.203,0.205,0.203,0.203
2015-06-15,0.204,0.204,0.202,0.203
2015-06-16,0.203,0.204,0.202,0.203
2015-06-17,0.203,0.205,0.202,0.203
2015-06-18,0.203,0.204,0.2,0.201
2015-06-19,0.202,0.203,0.201,0.202
2015-06-22,0.202,0.204,0.202,0.203
2015-06-23,0.203,0.205,0.203,0.203
2015-06-24,0.203,0.205,0.203,0.204
2015-06-25,0.204,0.204,0.203,0.203
2015-06-26,0.203,0.206,0.203,0.205
2015-06-29,0.206,0.206,0.204,0.205
2015-06-30,0.205,0.205,0.204,0.205
2015-07-01,0.205,0.206,0.204,0.206
2015-07-02,0.206,0.207,0.206,0.206
2015-07-03,0.206,0.21,0.206,0.209
2015-07-06,0.21,0.211,0.209,0.21
2015-07-07,0.21,0.213,0.21,0.211
2015-07-08,0.211,0.213,0.211,0.212
2015-07-09,0.212,0.213,0.21,0.211
2015-07-10,0.211,0.212,0.21,0.211
2015-07-13,0.212,0.213,0.211,0.213
2015-07-14,0.213,0.213,0.211,0.211
2015-07-15,0.211,0.214,0.21,0.213
2015-07-16,0.213,0.214,0.212,0.212
2015-07-17,0.212,0.214,0.212,0.213
2015-07-20,0.214,0.215,0.213,0.213
2015-07-21,0.213,0.214,0.211,0.212
2015-07-22,0.212,0.214,0.212,0.213
2015-07-23,0.213,0.214,0.212,0.214
2015-07-24,0.214,0.217,0.214,0.216
2015-07-27,0.216,0.217,0.215,0.216
2015-07-28,0.216,0.217,0.214,0.214
2015-07-29,0.214,0.216,0.214,0.216
2015-07-30,0.216,0.217,0.215,0.216
2015-07-31,0.216,0.218,0.214,0.216
2015-08-03,0.215,0.217,0.215,0.216
2015-08-04,0.216,0.216,0.212,0.213
2015-08-05,0.214,0.214,0.213,0.214
2015-08-06,0.214,0.215,0.214,0.214
2015-08-07,0.214,0.214,0.212,0.212
2015-08-10,0.212,0.214,0.212,0.212
2015-08-11,0.212,0.214,0.21,0.211
2015-08-12,0.211,0.213,0.207,0.207
