Date,Open,High,Low,Close
2015-01-01,0.1332,0.1332,0.1331,0.1332
2015-01-02,0.1332,0.1343,0.133,0.1343
2015-01-05,0.135,0.1353,0.1342,0.1347
2015-01-06,0.1347,0.1356,0.1344,0.1355
2015-01-07,0.1355,0.1363,0.1353,0.1359
2015-01-08,0.136,0.1368,0.1358,0.1364
2015-01-09,0.1364,0.1367,0.1359,0.136
2015-01-12,0.1357,0.1367,0.1356,0.1362
2015-01-13,0.1362,0.1372,0.1359,0.137
2015-01-14,0.137,0.1374,0.1362,0.1369
2015-01-15,0.1369,0.1396,0.1368,0.1389
2015-01-16,0.139,0.1402,0.1382,0.1392
2015-01-19,0.1392,0.1394,0.1381,0.1385
2015-01-20,0.1385,0.1393,0.1385,0.1392
2015-01-21,0.1393,0.1393,0.1381,0.1385
2015-01-22,0.1386,0.1421,0.1383,0.1421
2015-01-23,0.1419,0.1441,0.1413,0.1432
2015-01-26,0.144,0.1445,0.1416,0.1422
2015-01-27,0.1423,0.1424,0.1403,0.1408
2015-01-28,0.1408,0.1419,0.1406,0.1417
2015-01-29,0.1426,0.1426,0.1409,0.1413
2015-01-30,0.1413,0.1421,0.1408,0.1417
2015-02-02,0.1414,0.1415,0.1406,0.1409
2015-02-03,0.1409,0.142,0.1389,0.1393
2015-02-04,0.1393,0.1412,0.1392,0.1411
2015-02-05,0.1413,0.142,0.1391,0.1394
2015-02-06,0.1394,0.1415,0.1394,0.1415
2015-02-09,0.1414,0.1418,0.1409,0.1413
2015-02-10,0.1412,0.1421,0.1411,0.1416
2015-02-11,0.1415,0.1423,0.1411,0.1413
2015-02-12,0.1413,0.1417,0.1402,0.1404
2015-02-13,0.1404,0.1408,0.14,0.1408
2015-02-16,0.1405,0.1413,0.14,0.1409
2015-02-17,0.1411,0.1421,0.13971,0.14004
2015-02-18,0.14005,0.14098,0.14,0.14016
2015-02-19,0.14016,0.1407,0.13959,0.14062
2015-02-20,0.14064,0.14157,0.14006,0.1404
2015-02-23,0.1404,0.14167,0.1403,0.14094
2015-02-24,0.14098,0.1414,0.14055,0.14094
2015-02-25,0.14092,0.14191,0.14031,0.14056
2015-02-26,0.14055,0.14277,0.14016,0.14266
2015-02-27,0.14266,0.14368,0.14184,0.14268
2015-03-02,0.14284,0.14311,0.14179,0.14252
2015-03-03,0.14251,0.14279,0.14199,0.14253
2015-03-04,0.14254,0.14411,0.14239,0.14387
2015-03-05,0.14387,0.14508,0.14374,0.1446
2015-03-06,0.14461,0.14722,0.14446,0.14713
2015-03-09,0.14728,0.14728,0.14625,0.14714
2015-03-10,0.14712,0.14955,0.14709,0.14933
2015-03-11,0.1492,0.15182,0.14884,0.1514
2015-03-12,0.1513,0.15205,0.1495,0.15029
2015-03-13,0.15029,0.15264,0.15014,0.15206
2015-03-16,0.15212,0.15345,0.15039,0.15103
2015-03-17,0.15101,0.15142,0.1501,0.15107
2015-03-18,0.15107,0.15199,0.14574,0.14819
2015-03-19,0.14812,0.15193,0.14712,0.15123
