Date,Open,High,Low,Close
2015-01-01,19.273,19.294,19.256,19.294
2015-01-02,19.296,19.434,19.284,19.394
2015-01-05,19.384,19.418,19.153,19.153
2015-01-06,19.152,19.187,18.984,19.066
2015-01-07,19.063,19.23,19.052,19.183
2015-01-08,19.181,19.264,19.161,19.254
2015-01-09,19.242,19.258,19.052,19.053
2015-01-12,19.031,19.199,19.007,19.052
2015-01-13,19.062,19.128,18.953,18.998
2015-01-14,18.998,19.002,18.729,18.89
2015-01-15,18.9,19.007,18.712,18.753
2015-01-16,18.754,18.939,18.661,18.927
2015-01-19,18.889,18.927,18.761,18.888
2015-01-20,18.905,19.092,18.904,19.092
2015-01-21,19.072,19.072,18.848,18.96
2015-01-22,18.959,19.083,18.874,19.083
2015-01-23,19.095,19.095,18.855,18.888
2015-01-26,18.863,18.976,18.747,18.911
2015-01-27,18.914,18.946,18.745,18.836
2015-01-28,18.835,18.993,18.755,18.769
2015-01-29,18.921,18.942,18.756,18.922
2015-01-30,18.919,19.007,18.748,18.769
2015-02-02,18.714,18.815,18.687,18.772
2015-02-03,18.774,18.901,18.646,18.761
2015-02-04,18.762,18.86,18.715,18.742
2015-02-05,18.741,18.861,18.694,18.771
2015-02-06,18.767,19.067,18.723,19.053
2015-02-09,19.028,19.033,18.923,18.953
2015-02-10,18.961,19.137,18.93,19.112
2015-02-11,19.11,19.272,19.091,19.25
2015-02-12,19.246,19.246,18.972,19.055
2015-02-13,19.056,19.069,18.953,19.003
2015-02-16,18.989,19.003,18.906,18.932
2015-02-17,18.931,19.067,18.896,19.035
2015-02-18,19.031,19.058,18.931,18.953
2015-02-19,18.956,19.024,18.925,19.008
2015-02-20,19.006,19.029,18.892,19.004
2015-02-23,19.014,19.165,18.959,18.974
2015-02-24,18.972,19.116,18.937,18.995
2015-02-25,18.989,19.1,18.896,18.964
2015-02-26,18.962,19.067,18.934,19.053
2015-02-27,19.048,19.192,18.977,19.102
2015-03-02,19.099,19.136,19.004,19.134
2015-03-03,19.122,19.122,19.005,19.048
2015-03-04,19.039,19.082,19.009,19.069
2015-03-05,19.067,19.172,19.049,19.143
2015-03-06,19.139,19.336,19.1,19.268
2015-03-09,19.249,19.353,19.206,19.34
2015-03-10,19.333,19.455,19.293,19.317
2015-03-11,19.288,19.53,19.283,19.379
2015-03-12,19.367,19.402,19.253,19.353
2015-03-13,19.355,19.393,19.328,19.369
2015-03-16,19.366,19.534,19.291,19.357
2015-03-17,19.353,19.41,19.332,19.402
2015-03-18,19.402,19.528,19.133,19.275
2015-03-19,19.277,19.506,19.191,19.468
2015-03-20,19.477,19.502,19.31,19.325
2015-03-23,19.333,19.335,19.224,19.229
2015-03-24,19.226,19.305,19.171,19.27
2015-03-25,19.277,19.284,19.167,19.197
2015-03-26,19.197,19.204,19.027,19.175
2015-03-27,19.168,19.205,19.117,19.142
2015-03-30,19.159,19.342,19.143,19.324
2015-03-31,19.323,19.375,19.285,19.334
2015-04-01,19.331,19.382,19.24,19.284
2015-04-02,19.281,19.313,19.238,19.301
2015-04-03,19.3,19.386,19.156,19.386
2015-04-06,19.174,19.409,19.173,19.265
2015-04-07,19.27,19.412,19.263,19.385
2015-04-08,19.383,19.393,19.266,19.346
2015-04-09,19.349,19.431,19.292,19.4
2015-04-10,19.397,19.41,19.317,19.337
2015-04-13,19.339,19.41,19.287,19.298
2015-04-14,19.294,19.294,19.167,19.195
2015-04-15,19.236,19.26,19.126,19.183
2015-04-16,19.182,19.253,19.138,19.189
2015-04-17,19.182,19.214,19.106,19.159
2015-04-20,19.15,19.233,19.088,19.208
2015-04-21,19.208,19.298,19.197,19.279
2015-04-22,19.273,19.348,19.244,19.348
2015-04-23,19.347,19.359,19.252,19.272
2015-04-24,19.243,19.279,19.162,19.179
2015-04-27,19.172,19.251,19.114,19.123
2015-04-28,19.127,19.172,19.112,19.131
2015-04-29,19.131,19.205,19.108,19.182
2015-04-30,19.175,19.303,19.091,19.223
2015-05-01,19.274,19.371,19.263,19.351
2015-05-04,19.348,19.36,19.289,19.322
2015-05-05,19.322,19.392,19.269,19.298
2015-05-06,19.297,19.322,19.209,19.238
2015-05-07,19.237,19.28,19.167,19.265
2015-05-08,19.264,19.341,19.239,19.282
2015-05-11,19.273,19.326,19.258,19.324
2015-05-12,19.324,19.344,19.269,19.286
2015-05-13,19.282,19.302,19.157,19.177
2015-05-14,19.174,19.208,19.149,19.193
2015-05-15,19.196,19.303,19.19,19.19
2015-05-18,19.264,19.319,19.245,19.315
2015-05-19,19.3,19.427,19.296,19.418
2015-05-20,19.416,19.54,19.414,19.519
2015-05-21,19.515,19.541,19.468,19.513
2015-05-22,19.512,19.593,19.443,19.587
2015-05-25,19.6,19.607,19.567,19.594
2015-05-26,19.619,19.845,19.593,19.805
2015-05-27,19.804,19.975,19.772,19.926
2015-05-28,19.931,20.04,19.899,19.94
2015-05-29,19.936,20.01,19.904,20.004
2015-06-01,20.009,20.122,19.962,20.108
2015-06-02,20.115,20.125,19.962,19.996
2015-06-03,19.989,20.078,19.96,20.024
2015-06-04,20.035,20.078,19.942,20.044
2015-06-05,20.045,20.251,20.007,20.224
2015-06-08,20.231,20.235,20.014,20.051
2015-06-09,20.056,20.072,19.942,20.014
2015-06-10,20.019,20.056,19.732,19.755
2015-06-11,19.76,19.922,19.76,19.883
2015-06-12,19.879,19.922,19.825,19.854
2015-06-15,19.856,19.89,19.841,19.854
2015-06-16,19.861,19.889,19.84,19.848
2015-06-17,19.847,19.993,19.825,19.859
2015-06-18,19.862,19.88,19.713,19.78
2015-06-19,19.784,19.822,19.717,19.737
2015-06-22,19.734,19.852,19.728,19.841
2015-06-23,19.846,19.981,19.845,19.94
2015-06-24,19.94,20.011,19.908,19.935
2015-06-25,19.933,19.945,19.849,19.879
2015-06-26,19.878,19.944,19.82,19.927
2015-06-29,19.717,19.81,19.685,19.713
2015-06-30,19.713,19.744,19.656,19.717
2015-07-01,19.719,19.84,19.71,19.835
2015-07-02,19.847,19.918,19.799,19.812
2015-07-03,19.813,19.825,19.754,19.788
2015-07-06,19.695,19.765,19.659,19.719
2015-07-07,19.719,19.759,19.629,19.697
2015-07-08,19.7,19.708,19.375,19.397
2015-07-09,19.435,19.588,19.416,19.581
2015-07-10,19.585,19.761,19.569,19.755
2015-07-13,19.701,19.866,19.693,19.86
2015-07-14,19.874,19.897,19.792,19.84
2015-07-15,19.84,19.939,19.824,19.935
2015-07-16,19.939,19.974,19.899,19.966
2015-07-17,19.971,19.979,19.935,19.958
2015-07-20,19.965,20.004,19.954,19.989
2015-07-21,20.002,20.02,19.909,19.921
2015-07-22,19.921,19.967,19.878,19.937
2015-07-23,19.938,19.963,19.898,19.928
2015-07-24,19.927,19.957,19.879,19.911
2015-07-27,19.889,19.893,19.789,19.825
2015-07-28,19.826,19.91,19.766,19.881
2015-07-29,19.838,19.943,19.822,19.932
2015-07-30,19.932,20.027,19.932,19.973
2015-07-31,19.971,20.001,19.872,19.939
2015-08-03,19.934,19.987,19.923,19.943
2015-08-04,19.943,19.992,19.913,19.992
2015-08-05,20.02,20.105,19.957,20.084
2015-08-06,20.068,20.093,20.035,20.057
2015-08-07,20.057,20.089,19.967,19.978
2015-08-10,19.995,20.068,19.995,20.04
2015-08-11,20.033,20.084,19.698,19.758
2015-08-12,19.758,19.77,19.286,19.425
2015-08-13,19.426,19.491,19.286,19.421
2015-08-14,19.419,19.434,19.364,19.424
2015-08-17,19.427,19.454,19.409,19.432
2015-08-18,19.432,19.446,19.383,19.431
2015-08-19,19.431,19.435,19.321,19.35
2015-08-20,19.351,19.392,19.284,19.301
2015-08-21,19.302,19.308,19.051,19.072
2015-08-24,18.996,19.061,18.393,18.508
2015-08-25,18.482,18.732,18.481,18.517
2015-08-26,18.522,18.75,18.483,18.75
2015-08-27,18.738,18.923,18.678,18.886
2015-08-28,18.86,19.03,18.851,19.03
2015-08-31,18.964,19.013,18.905,18.988
2015-09-01,18.984,18.984,18.722,18.753
2015-09-02,18.755,18.942,18.755,18.942
2015-09-03,18.936,18.958,18.821,18.879
2015-09-04,18.882,18.882,18.669,18.703
2015-09-07,18.699,18.778,18.658,18.755
2015-09-08,18.767,18.858,18.656,18.822
2015-09-09,18.821,19.007,18.817,18.841
2015-09-10,18.841,18.996,18.814,18.91
2015-09-11,18.916,18.942,18.867,18.892
2015-09-14,18.904,18.928,18.803,18.874
2015-09-15,18.876,18.92,18.724,18.873
2015-09-16,18.876,18.926,18.833,18.905
2015-09-17,18.902,18.981,18.807,18.845
2015-09-18,18.864,18.865,18.684,18.83
2015-09-21,18.83,18.919,18.787,18.907
2015-09-22,18.883,18.887,18.763,18.808
2015-09-23,18.811,18.86,18.722,18.807
2015-09-24,18.807,18.85,18.661,18.819
2015-09-25,18.824,18.959,18.787,18.894
2015-09-28,18.875,18.889,18.715,18.743
2015-09-29,18.745,18.853,18.69,18.801
2015-09-30,18.806,18.906,18.789,18.844
2015-10-01,18.844,18.895,18.782,18.828
2015-10-02,18.832,18.911,18.666,18.839
2015-10-05,18.852,18.937,18.832,18.927
2015-10-06,18.925,18.942,18.877,18.891
2015-10-07,18.889,18.907,18.822,18.849
2015-10-08,18.849,18.877,18.814,18.851
2015-10-09,18.847,18.939,18.844,18.929
2015-10-12,18.922,18.989,18.897,18.965
2015-10-13,18.966,18.967,18.832,18.854
2015-10-14,18.856,18.891,18.678,18.705
2015-10-15,18.704,18.763,18.588,18.72
2015-10-16,18.716,18.803,18.688,18.778
2015-10-19,18.752,18.795,18.712,18.766
2015-10-20,18.781,18.87,18.743,18.845
2015-10-21,18.846,18.901,18.845,18.867
2015-10-22,18.86,18.965,18.798,18.963
2015-10-23,18.962,19.102,18.89,19.101
2015-10-26,19.093,19.095,18.977,19.028
2015-10-27,19.03,19.034,18.898,18.935
2015-10-28,18.936,19.043,18.893,19.021
2015-10-29,19.016,19.041,18.939,19.009
2015-10-30,19.006,19.13,18.964,19.064
2015-11-02,19.053,19.053,18.956,19.027
2015-11-03,19.028,19.115,19.005,19.087
2015-11-04,19.083,19.177,19.07,19.156
2015-11-05,19.154,19.215,19.107,19.158
2015-11-06,19.154,19.375,19.115,19.358
2015-11-09,19.385,19.418,19.309,19.321
2015-11-10,19.319,19.379,19.315,19.342
2015-11-11,19.342,19.342,19.264,19.268
2015-11-12,19.289,19.294,19.215,19.229
2015-11-13,19.23,19.281,19.201,19.208
2015-11-16,19.169,19.326,19.154,19.313
2015-11-17,19.331,19.359,19.289,19.346
2015-11-18,19.35,19.35,19.265,19.336
2015-11-19,19.325,19.33,19.19,19.236
2015-11-20,19.237,19.249,19.201,19.206
2015-11-23,19.222,19.281,19.194,19.198
2015-11-24,19.215,19.218,19.121,19.151
2015-11-25,19.125,19.211,19.111,19.186
2015-11-26,19.184,19.184,19.151,19.169
2015-11-27,19.166,19.209,19.106,19.19
2015-11-30,19.181,19.243,19.159,19.215
2015-12-01,19.228,19.235,19.162,19.182
2015-12-02,19.183,19.282,19.179,19.235
2015-12-03,19.241,19.284,19.094,19.146
2015-12-04,19.148,19.274,19.123,19.22
2015-12-07,19.215,19.262,19.192,19.225
2015-12-08,19.227,19.228,19.103,19.122
2015-12-09,19.128,19.15,18.852,18.923
2015-12-10,18.931,18.944,18.828,18.875
2015-12-11,18.876,18.962,18.666,18.716
2015-12-14,18.734,18.743,18.612,18.694
2015-12-15,18.705,18.826,18.613,18.797
2015-12-16,18.808,18.887,18.752,18.858
2015-12-17,18.894,18.927,18.81,18.875
2015-12-18,18.875,18.936,18.66,18.684
2015-12-21,18.696,18.722,18.63,18.677
2015-12-22,18.684,18.693,18.615,18.66
2015-12-23,18.663,18.67,18.627,18.648
2015-12-24,18.645,18.656,18.541,18.557
2015-12-25,18.535,18.57,18.512,18.57
2015-12-28,18.546,18.572,18.508,18.53
2015-12-29,18.529,18.56,18.479,18.56
2015-12-30,18.56,18.571,18.488,18.546
2015-12-31,18.498,18.541,18.476,18.496
2016-01-01,18.498,18.51,18.493,18.51
2016-01-04,18.482,18.534,18.138,18.24
2016-01-05,18.235,18.316,18.157,18.229
2016-01-06,18.239,18.242,18.008,18.05
2016-01-07,18.065,18.086,17.752,17.821
2016-01-08,17.816,17.978,17.76,17.76
2016-01-11,17.725,17.928,17.706,17.898
2016-01-12,17.881,17.922,17.786,17.865
2016-01-13,17.902,17.992,17.866,17.868
2016-01-14,17.868,17.92,17.8,17.889
2016-01-15,17.903,17.944,17.677,17.746
2016-01-18,17.732,17.829,17.732,17.811
2016-01-19,17.847,17.947,17.803,17.859
2016-01-20,17.857,17.875,17.617,17.754
2016-01-21,17.755,17.875,17.692,17.875
2016-01-22,17.935,18.059,17.846,18.024
2016-01-25,18.027,18.058,17.95,17.961
2016-01-26,17.962,18.045,17.871,17.97
2016-01-27,17.964,18.08,17.921,18.003
2016-01-28,17.994,18.069,17.987,18.042
2016-01-29,18.111,18.477,18.027,18.406
2016-02-01,18.428,18.44,18.334,18.363
2016-02-02,18.398,18.406,18.186,18.19
2016-02-03,18.25,18.255,17.774,17.915
2016-02-04,17.906,17.971,17.707,17.755
2016-02-05,17.752,17.845,17.721,17.754
2016-02-08,17.772,17.848,17.518,17.563
2016-02-09,17.549,17.562,17.371,17.492
2016-02-10,17.503,17.514,17.202,17.243
2016-02-11,17.236,17.256,16.89,17.108
2016-02-12,17.104,17.246,16.982,17.203
2016-02-15,17.254,17.637,17.213,17.599
2016-02-16,17.598,17.626,17.426,17.504
2016-02-17,17.493,17.531,17.357,17.453
2016-02-18,17.457,17.498,17.344,17.352
2016-02-19,17.349,17.35,17.202,17.244
2016-02-22,17.242,17.358,17.225,17.295
2016-02-23,17.29,17.305,17.112,17.133
2016-02-24,17.133,17.153,16.974,17.121
2016-02-25,17.118,17.275,17.097,17.263
2016-02-26,17.261,17.411,17.2,17.411
2016-02-29,17.37,17.387,17.115,17.134
2016-03-01,17.122,17.411,17.11,17.394
2016-03-02,17.391,17.463,17.267,17.312
2016-03-03,17.312,17.432,17.308,17.369
2016-03-04,17.374,17.5,17.326,17.427
2016-03-07,17.431,17.434,17.355,17.374
2016-03-08,17.374,17.394,17.258,17.285
2016-03-09,17.289,17.391,17.213,17.374
2016-03-10,17.376,17.521,17.276,17.359
2016-03-11,17.308,17.526,17.308,17.526
2016-03-14,17.523,17.524,17.458,17.498
2016-03-15,17.495,17.513,17.276,17.345
2016-03-16,17.355,17.432,17.215,17.275
2016-03-17,17.27,17.339,17.057,17.168
2016-03-18,17.171,17.25,17.118,17.22
2016-03-21,17.216,17.278,17.133,17.278
2016-03-22,17.276,17.31,17.133,17.292
2016-03-23,17.267,17.341,17.249,17.258
2016-03-24,17.254,17.326,17.236,17.294
2016-03-25,17.351,17.371,17.316,17.342
2016-03-28,17.38,17.418,17.345,17.413
2016-03-29,17.416,17.451,17.288,17.309
2016-03-30,17.31,17.386,17.271,17.375
2016-03-31,17.37,17.418,17.304,17.411
2016-04-01,17.414,17.415,17.202,17.213
2016-04-04,17.23,17.242,17.129,17.156
2016-04-05,17.155,17.155,16.966,17.015
2016-04-06,17.03,17.054,16.855,16.898
2016-04-07,16.892,16.914,16.635,16.711
2016-04-08,16.718,16.81,16.671,16.672
2016-04-11,16.697,16.744,16.614,16.685
2016-04-12,16.685,16.811,16.679,16.787
2016-04-13,16.781,16.869,16.774,16.85
2016-04-14,16.868,16.899,16.791,16.832
2016-04-15,16.853,16.905,16.733,16.774
2016-04-18,16.624,16.798,16.62,16.784
2016-04-19,16.78,16.909,16.78,16.885
2016-04-20,16.871,16.966,16.8,16.952
2016-04-21,16.953,16.963,16.848,16.877
2016-04-22,16.876,17.171,16.825,17.159
2016-04-25,17.144,17.144,17.041,17.108
2016-04-26,17.107,17.149,17.022,17.124
2016-04-27,17.107,17.155,17.084,17.14
2016-04-28,17.142,17.196,16.638,16.683
2016-04-29,16.672,16.675,16.406,16.406
2016-05-02,16.415,16.47,16.392,16.408
2016-05-03,16.401,16.504,16.284,16.443
2016-05-04,16.455,16.497,16.336,16.437
2016-05-05,16.438,16.492,16.402,16.47
2016-05-06,16.467,16.481,16.368,16.46
2016-05-09,16.487,16.646,16.468,16.613
2016-05-10,16.613,16.761,16.591,16.747
2016-05-11,16.749,16.749,16.643,16.679
2016-05-12,16.681,16.799,16.61,16.696
2016-05-13,16.701,16.734,16.607,16.615
2016-05-16,16.602,16.711,16.6,16.711
2016-05-17,16.705,16.777,16.661,16.717
2016-05-18,16.717,16.837,16.653,16.818
2016-05-19,16.82,16.835,16.742,16.769
2016-05-20,16.773,16.863,16.761,16.794
2016-05-23,16.763,16.769,16.625,16.653
2016-05-24,16.661,16.785,16.636,16.756
2016-05-25,16.761,16.802,16.729,16.786
2016-05-26,16.786,16.789,16.69,16.717
2016-05-27,16.713,16.808,16.661,16.776
2016-05-30,16.865,16.92,16.812,16.905
2016-05-31,16.82,16.894,16.777,16.808
2016-06-01,16.804,16.812,16.562,16.635
2016-06-02,16.635,16.635,16.463,16.512
2016-06-03,16.512,16.556,16.168,16.218
2016-06-06,16.174,16.372,16.144,16.358
2016-06-07,16.355,16.399,16.294,16.302
2016-06-08,16.301,16.313,16.202,16.254
2016-06-09,16.249,16.313,16.172,16.294
2016-06-10,16.288,16.316,16.222,16.277
2016-06-13,16.174,16.189,16.043,16.102
2016-06-14,16.086,16.118,16.006,16.061
2016-06-15,16.057,16.144,16.018,16.061
2016-06-16,16.043,16.043,15.727,15.809
2016-06-17,15.824,15.89,15.779,15.781
2016-06-20,15.84,15.903,15.754,15.771
2016-06-21,15.771,15.931,15.731,15.868
2016-06-22,15.872,15.902,15.814,15.901
2016-06-23,15.901,16.215,15.837,16.171
2016-06-24,15.924,15.961,15.111,15.427
2016-06-27,15.405,15.446,15.219,15.307
2016-06-28,15.294,15.445,15.258,15.417
2016-06-29,15.416,15.486,15.34,15.475
2016-06-30,15.486,15.523,15.389,15.511
2016-07-01,15.486,15.492,15.365,15.382
2016-07-04,15.395,15.415,15.372,15.383
2016-07-05,15.38,15.38,15.178,15.2
2016-07-06,15.196,15.196,14.956,15.128
2016-07-07,15.106,15.12,15.034,15.056
2016-07-08,15.061,15.08,14.972,14.997
2016-07-11,15.034,15.361,15.016,15.32
2016-07-12,15.318,15.672,15.284,15.635
2016-07-13,15.634,15.646,15.529,15.584
2016-07-14,15.553,15.82,15.545,15.729
2016-07-15,15.73,15.872,15.723,15.747
2016-07-18,15.73,15.836,15.687,15.836
2016-07-19,15.81,15.883,15.748,15.839
2016-07-20,15.837,16.033,15.777,16.019
2016-07-21,16.025,16.069,15.77,15.84
2016-07-22,15.843,15.904,15.798,15.851
2016-07-25,15.916,15.951,15.81,15.817
2016-07-26,15.814,15.814,15.56,15.679
2016-07-27,15.716,15.935,15.712,15.744
2016-07-28,15.744,15.827,15.67,15.793
2016-07-29,15.741,15.741,15.316,15.352
2016-08-01,15.398,15.45,15.353,15.389
2016-08-02,15.391,15.441,15.157,15.2
2016-08-03,15.236,15.289,15.18,15.246
2016-08-04,15.251,15.285,15.181,15.217
2016-08-05,15.216,15.302,15.158,15.281
2016-08-08,15.308,15.38,15.281,15.353
2016-08-09,15.339,15.361,15.269,15.288
2016-08-10,15.23,15.27,15.198,15.224
2016-08-11,15.227,15.366,15.204,15.319
2016-08-12,15.319,15.363,15.191,15.248
2016-08-15,15.254,15.262,15.161,15.234
2016-08-16,15.224,15.227,15.033,15.11
2016-08-17,15.113,15.221,15.064,15.081
2016-08-18,15.049,15.122,15.008,15.046
2016-08-19,15.106,15.124,15.015,15.045
2016-08-22,15.073,15.127,15.047,15.071
2016-08-23,15.07,15.086,15.013,15.086
2016-08-24,15.083,15.106,15.019,15.07
2016-08-25,15.073,15.089,15.049,15.087
2016-08-26,15.083,15.244,14.988,15.244
2016-08-29,15.26,15.31,15.22,15.222
2016-08-30,15.231,15.415,15.216,15.39
2016-08-31,15.416,15.473,15.382,15.45
2016-09-01,15.447,15.542,15.411,15.45
2016-09-02,15.437,15.584,15.399,15.546
