Date,Open,High,Low,Close
2015-01-01,0.1612,0.1612,0.161,0.1612
2015-01-02,0.1612,0.1612,0.1604,0.1611
2015-01-05,0.1611,0.1616,0.1605,0.1607
2015-01-06,0.1607,0.161,0.1606,0.1609
2015-01-07,0.1609,0.161,0.1609,0.1609
2015-01-08,0.1609,0.1609,0.1606,0.1609
2015-01-09,0.1609,0.1611,0.1609,0.161
2015-01-12,0.161,0.1613,0.161,0.1612
2015-01-13,0.1612,0.1613,0.161,0.1613
2015-01-14,0.1613,0.1614,0.161,0.1613
2015-01-15,0.1613,0.1616,0.1613,0.1616
2015-01-16,0.1616,0.1616,0.1608,0.1611
2015-01-19,0.1611,0.1611,0.1605,0.1607
2015-01-20,0.1607,0.1609,0.1606,0.1609
2015-01-21,0.1609,0.1609,0.1606,0.1609
2015-01-22,0.1609,0.161,0.1609,0.161
2015-01-23,0.161,0.1611,0.1605,0.1605
2015-01-26,0.1605,0.1611,0.1596,0.1599
2015-01-27,0.1599,0.1601,0.1598,0.1601
2015-01-28,0.1601,0.1611,0.1599,0.16
2015-01-29,0.1611,0.1611,0.1596,0.16
2015-01-30,0.16,0.1611,0.1596,0.16
2015-02-02,0.16,0.16,0.1593,0.1597
2015-02-03,0.1597,0.1611,0.1595,0.1598
2015-02-04,0.1598,0.16,0.1597,0.16
2015-02-05,0.16,0.1611,0.1597,0.1599
2015-02-06,0.1599,0.1603,0.1599,0.1601
2015-02-09,0.1601,0.1602,0.1598,0.16
2015-02-10,0.16,0.1611,0.1599,0.1602
2015-02-11,0.1602,0.1611,0.16,0.1601
2015-02-12,0.1601,0.1602,0.1599,0.1601
2015-02-13,0.1601,0.1602,0.1601,0.1602
2015-02-16,0.1602,0.1604,0.1599,0.16
2015-02-17,0.16,0.1611,0.1598,0.1598
2015-02-18,0.1598,0.1598,0.1597,0.1598
2015-02-19,0.1598,0.1599,0.1597,0.1598
2015-02-20,0.1598,0.1599,0.1597,0.1598
2015-02-23,0.1598,0.1611,0.1597,0.1598
2015-02-24,0.1598,0.1598,0.1593,0.1598
2015-02-25,0.1598,0.1611,0.1594,0.1597
2015-02-26,0.1597,0.1598,0.1593,0.1597
