date,REAL_GDP
2014-10-31,2466078.8
2014-11-30,
2014-12-31,
2015-01-31,2483778.0
2015-02-28,
2015-03-31,
2015-04-30,2494936.4
2015-05-31,
2015-06-30,
2015-07-31,2504504.6
2015-08-31,
2015-09-30,
2015-10-31,2517399.2
2015-11-30,
2015-12-31,
2016-01-31,2529788.3
2016-02-29,
2016-03-31,
2016-04-30,2535741.6
2016-05-31,
2016-06-30,
2016-07-31,2547665.9
2016-08-31,
2016-09-30,
2016-10-31,2566015.5
2016-11-30,
2016-12-31,
2017-01-31,2585698.5
2017-02-28,
2017-03-31,
2017-04-30,2604692.0
2017-05-31,
2017-06-30,
2017-07-31,2623410.4
2017-08-31,
2017-09-30,
2017-10-31,2644462.5
2017-11-30,
2017-12-31,
2018-01-31,2644769.7
2018-02-28,
2018-03-31,
2018-04-30,2658192.1
2018-05-31,
2018-06-30,
2018-07-31,2659782.9
2018-08-31,
2018-09-30,
2018-10-31,2676153.2
2018-11-30,
2018-12-31,
2019-01-31,2693587.6
2019-02-28,
2019-03-31,
2019-04-30,2703133.9
2019-05-31,
2019-06-30,
2019-07-31,2707785.2
2019-08-31,
2019-09-30,
2019-10-31,2707933.7
2019-11-30,
2019-12-31,
2020-01-31,2617377.8
2020-02-29,
2020-03-31,
2020-04-30,2326242.9
2020-05-31,
2020-06-30,
2020-07-31,2597876.8
2020-08-31,
2020-09-30,
2020-10-31,2606251.2
2020-11-30,
2020-12-31,
2021-01-31,2622241.4
2021-02-28,
2021-03-31,
2021-04-30,2681254.7
2021-05-31,
2021-06-30,
2021-07-31,2727598.9
2021-08-31,
2021-09-30,
2021-10-31,2750943.7
2021-11-30,
2021-12-31,
2022-01-31,2766306.4
2022-02-28,
2022-03-31,
2022-04-30,2791035.2
2022-05-31,
2022-06-30,
2022-07-31,2806687.8
2022-08-31,
2022-09-30,
2022-10-31,2804166.0
2022-11-30,
2022-12-31,
2023-01-31,2804511.3
2023-02-28,
2023-03-31,
2023-04-30,2806382.2
2023-05-31,
2023-06-30,
2023-07-31,2806318.5
2023-08-31,
2023-09-30,
2023-10-31,2807816.1
2023-11-30,
2023-12-31,
2024-01-31,2816750.3
2024-02-29,
2024-03-31,
2024-04-30,2821410.1
2024-05-31,
2024-06-30,
2024-07-31,2833400.9
2024-08-31,
2024-09-30,
2024-10-31,2839871.2
