date,REAL_GDP
2014-10-31,529412.0
2014-11-30,
2014-12-31,
2015-01-31,537356.1
2015-02-28,
2015-03-31,
2015-04-30,538212.1
2015-05-31,
2015-06-30,
2015-07-31,538822.0
2015-08-31,
2015-09-30,
2015-10-31,537934.8
2015-11-30,
2015-12-31,
2016-01-31,541924.6
2016-02-29,
2016-03-31,
2016-04-30,541007.0
2016-05-31,
2016-06-30,
2016-07-31,542179.7
2016-08-31,
2016-09-30,
2016-10-31,542937.2
2016-11-30,
2016-12-31,
2017-01-31,547126.3
2017-02-28,
2017-03-31,
2017-04-30,549286.6
2017-05-31,
2017-06-30,
2017-07-31,554058.0
2017-08-31,
2017-09-30,
2017-10-31,554388.2
2017-11-30,
2017-12-31,
2018-01-31,554806.0
2018-02-28,
2018-03-31,
2018-04-30,556976.7
2018-05-31,
2018-06-30,
2018-07-31,554164.6
2018-08-31,
2018-09-30,
2018-10-31,552824.0
2018-11-30,
2018-12-31,
2019-01-31,554158.4
2019-02-28,
2019-03-31,
2019-04-30,556656.5
2019-05-31,
2019-06-30,
2019-07-31,557670.2
2019-08-31,
2019-09-30,
2019-10-31,541461.9
2019-11-30,
2019-12-31,
2020-01-31,544466.6
2020-02-29,
2020-03-31,
2020-04-30,503024.8
2020-05-31,
2020-06-30,
2020-07-31,530240.2
2020-08-31,
2020-09-30,
2020-10-31,539231.3
2020-11-30,
2020-12-31,
2021-01-31,540947.5
2021-02-28,
2021-03-31,
2021-04-30,544392.9
2021-05-31,
2021-06-30,
2021-07-31,542150.0
2021-08-31,
2021-09-30,
2021-10-31,548195.4
2021-11-30,
2021-12-31,
2022-01-31,544889.4
2022-02-28,
2022-03-31,
2022-04-30,551147.6
2022-05-31,
2022-06-30,
2022-07-31,549221.9
2022-08-31,
2022-09-30,
2022-10-31,550317.1
2022-11-30,
2022-12-31,
2023-01-31,557279.4
2023-02-28,
2023-03-31,
2023-04-30,560550.5
2023-05-31,
2023-06-30,
2023-07-31,555418.5
2023-08-31,
2023-09-30,
2023-10-31,554986.0
2023-11-30,
2023-12-31,
2024-01-31,552296.6
2024-02-29,
2024-03-31,
2024-04-30,556368.7
2024-05-31,
2024-06-30,
2024-07-31,558673.3
2024-08-31,
2024-09-30,
2024-10-31,562477.3
