date,UNEMPLOYMENT
2014-12-31,2.5
2015-01-31,2.4
2015-02-28,2.4
2015-03-31,2.3
2015-04-30,2.3
2015-05-31,2.3
2015-06-30,2.3
2015-07-31,2.3
2015-08-31,2.3
2015-09-30,2.3
2015-10-31,2.3
2015-11-30,2.3
2015-12-31,2.2
2016-01-31,2.1
2016-02-29,2.1
2016-03-31,2.2
2016-04-30,2.2
2016-05-31,2.2
2016-06-30,2.2
2016-07-31,2.2
2016-08-31,2.3
2016-09-30,2.3
2016-10-31,2.3
2016-11-30,2.3
2016-12-31,2.3
2017-01-31,2.1
2017-02-28,2.1
2017-03-31,2.1
2017-04-30,2.2
2017-05-31,2.2
2017-06-30,2.2
2017-07-31,2.2
2017-08-31,2.2
2017-09-30,2.2
2017-10-31,2.2
2017-11-30,2.2
2017-12-31,2.3
2018-01-31,2.3
2018-02-28,2.3
2018-03-31,2.3
2018-04-30,2.4
2018-05-31,2.4
2018-06-30,2.4
2018-07-31,2.4
2018-08-31,2.5
2018-09-30,2.5
2018-10-31,2.6
2018-11-30,2.6
2018-12-31,2.7
2019-01-31,2.7
2019-02-28,2.8
2019-03-31,2.8
2019-04-30,2.9
2019-05-31,2.9
2019-06-30,3.0
2019-07-31,3.0
2019-08-31,3.1
2019-09-30,3.1
2019-10-31,3.2
2019-11-30,3.2
2019-12-31,3.3
2020-01-31,3.1
2020-02-29,3.1
2020-03-31,3.1
2020-04-30,5.2
2020-05-31,6.6
2020-06-30,6.4
2020-07-31,6.6
2020-08-31,6.7
2020-09-30,6.6
2020-10-31,6.5
2020-11-30,6.5
2020-12-31,6.5
2021-01-31,6.4
2021-02-28,6.6
2021-03-31,6.6
2021-04-30,6.4
2021-05-31,6.0
2021-06-30,5.7
2021-07-31,5.6
2021-08-31,5.4
